frame,visible_points,correct_points,accuracy_percent,band_lo,band_hi,band_med,band_mad
37,140,130,92.85714285714286,1.4800126096515558,1.6698980791251854,1.5749553443883706,0.0379770938947259
38,138,128,92.7536231884058,1.47423379507026,1.6649036401526824,1.5695687176114712,0.03813396901648452
39,136,128,94.11764705882354,1.4687636655614043,1.659232538522451,1.5639981020419276,0.03809377459220933
40,135,128,94.81481481481481,1.46238461667614,1.6542127004333516,1.5582986585547458,0.038365616751442275
41,133,127,95.48872180451127,1.4567192084990122,1.6494989186274733,1.5531090635632427,0.03855594202569221
42,137,131,95.62043795620438,1.449753443517439,1.646199253481965,1.547976348499702,0.0392891619929052
43,135,129,95.55555555555556,1.445927403452701,1.64043945183122,1.5431834276419605,0.038902409675703804
44,135,129,95.55555555555556,1.4424991403598533,1.6371576257232294,1.5398283830415413,0.03893169707267528
45,135,129,95.55555555555556,1.4384494400228323,1.6347103225567365,1.5365798812897844,0.039252176506780895
46,135,129,95.55555555555556,1.435314635767905,1.6326971963211792,1.534005916044542,0.039476512110654824
47,136,130,95.58823529411765,1.432745237384297,1.628663046222471,1.530704141803384,0.03918356176763477
48,135,130,96.29629629629629,1.431171633267244,1.6268141509523786,1.5289928921098113,0.03912850353702695
49,133,129,96.99248120300751,1.4302201531575998,1.6241698969405451,1.5271950250490725,0.03878994875658903
50,132,128,96.96969696969697,1.4300041381093678,1.6212688700657178,1.5256365040875428,0.03825294639127004
51,131,127,96.94656488549619,1.431052947888868,1.6204381715666019,1.525745559727735,0.03787704473554674
52,131,127,96.94656488549619,1.4317120844076752,1.6190317066498134,1.5253718955287443,0.03746392444842764
53,131,127,96.94656488549619,1.435248489555267,1.618872175056862,1.5270603323060645,0.036724737100319024
54,130,125,96.15384615384616,1.4391489414012264,1.6194355255438773,1.5292922334725518,0.0360573168285302
55,129,123,95.34883720930233,1.4409042389536977,1.621104867880714,1.5310045534172059,0.03604012578540327
56,129,121,93.7984496124031,1.4442330096107279,1.6213733296966755,1.5328031696537017,0.035428064017189516
57,129,121,93.7984496124031,1.448513115024476,1.6220113276405475,1.5352622213325118,0.0346996425232143
58,128,119,92.96875,1.454059236450132,1.6235079037422278,1.5387835700961798,0.0338897334584192
59,127,116,91.33858267716535,1.45824151758571,1.6278554645272134,1.5430484910564617,0.033922789388300664
60,149,133,89.26174496644295,1.4572690751846002,1.6359987808231937,1.546633928003897,0.035745941127718665
61,140,127,90.71428571428571,1.4577883589949963,1.6413991150334577,1.549593737014227,0.03672215120769225
62,140,124,88.57142857142857,1.4592767850638162,1.6470544902436504,1.5531656376537333,0.037555541035966845
63,139,122,87.76978417266187,1.461668746397546,1.652363137162407,1.5570159417799765,0.038138878152972205
